Sample Number	Sample
FF0036	Traditional Red Miso
FF0091	MeeChun Salted black bean
FF0092	New York Natto Organic
FF0121	Straus organic kefir, plain
FF0122	alexandre farms prebiotic kefir
FF0123	kefirlab probiotic kefir
FF0124	white mountain bulgarian yogurt
FF0125	straus organic yogurt
FF0126	nancy's probiotic whole milk yogurt
FF0127	bellwether farms a2 organic whole milk yogurt
FF0128	alexandre family famr a2/a2 organic plain yogurt
FF0129	la fermiere creamy whole milk yogurt
FF0130	good culture cottage cheese
FF0131	vermont creamery creme fraiche
FF0133	le chatelain camembert
FF0134	jasper hill farm willoughby
FF0136	rivoir-jacques vache comte
FF0137	le gryuere switzerland
FF0138	beemster aged gouda
FF0139	taleggio
FF0140	Cultured Beets with fennel
FF0141	local culture beet + fennel
FF0142	Sinto Gourmet kraut-chi crunchy beet
FF0143	wild west ferments moroccan beets
FF0144	wildbrine red beet & cabbage
FF0145	wild west ferments simply sauerkraut
FF0146	wild west ferments signature sauerkraut
FF0147	wild west ferments limited edition saerkraut, green garlic
FF0148	wild west erments el curtido
FF0149	wildbrine raw organic kraut
FF0150	sonoma brinery raw sauerkraut
FF0151	farmhouse culture kraut
FF0152	cultured raw vintage kraut
FF0153	britt's pickles
FF0154	sonoma brinery fresh pickles, manhatton style
FF0155	bubbie's baby kosher dill pickles
FF0156	cultured classic dills
FF0157	sinto gourmet kimchi (mild white)
FF0158	jongga mat kimchi
FF0159	mother in law's kimchi, vegan
FF0160	mother in laow's kimchi, house
FF0161	queens beachu kimchi
FF0162	cultured napa cabbage kimchi
FF0163	cultured sweet white miso
FF0164	aedan japanese fermented country miso
FF0165	yabajurushi tsubu jikomi miso
FF0176	Mani pitted castelvetrano olives
FF0177	Berkeley Bowl kalamata olives pitted
FF0178	Golden State Pickle Works cabbage w/ caraway
FF0179	Dragonfly preserved bean curd in chili oil
FF0181	Lightlife organic tempeh original
FF0183	Fra'mani salametto salame
FF0184	Journeyman meat co saucisson sec salame
FF0187	Equal Exchange 92% cacao total eclipse chocolate
FF0188	Taza 95% dark chocolate wicked dark chocolate
FF0190	Alter Eco total blackout 100% cacao chocolate
FF0191	The Tao of Tea organic Topaz puer
FF0199	Cafe Colucci injera cooked
FF0201	Cultured Pickle Indian pickled limes
FF0202	Cultured Pickle Chile paste
FF0203	Cultured Pickle umeboshi
FF0204	Wild West Ferments spicy Italian pickle
FF0205	Wild West Ferments preserved lemon
FF0206	Wild West Ferments Chili paste
FF0209	Taro brand sour poi
FF0211	Kopabana cassava fufu
FF0212	Kopabana cassava couscous / attieke
FF0213	Wala ga kenkey
FF0216	Barrio fiesta bagoong hipon
FF0220	Elizabeth Sourdough
FF0221	Shastha Foods Idli/Idli batter
FF0222	Grandios Yellow pap/ogi
FF0223	Chantle Sourdough
FF0225	Rachel Sourdough
FF0227	Mango pickle
FF0218	Burlap & Barrel white peppercorns
FF0219	Burlap & Barrel Iru
FF0224	CJ Doenjang
FF0228	Bayley Hazen Blue cheese
FF0229	Cabot Clothbound cheese
FF0230	Alpha Tolman cheese
FF0231	Moses Sleeper cheese
FF0232	Harbison Cheese
FF0233	Winnimere cheese
FF0234	Gochujang
FF0236	morel mushroom miso
FF0237	cultured sea kraut
FF0238	amazake
FF0239	jalapeno kasuzuke (18mo)
FF0242	carrot nukazuke
FF0243	Filmjolk yogurt
FF0244	Matsoni yogurt
FF0245	Piima yogurt
FF0246	Viili yogurt
FF0247	kefir
FF0249	dosa
FF0251	millet dosa
FF0255	bonito flakes (katuobushi)
FF0256	fermented black beans (douchi)
FF0257	black garlic
